artist,song_title,lyric_with_blank,answer,full_lyric,difficulty,tag
Arctic Monkeys,Secret Door,Fools on parade frolic and _____ about,FUCK,Fools on parade frolic and fuck about,Hard,AM Core
Arctic Monkeys,The Hellcat Spangled Shalalala,Her steady hands may well have done the _____ pedicure,DEVILS,Her steady hands may well have done the devil's pedicure,Hard,AM Core
Arctic Monkeys,Piledriver Waltz,"If you're gonna try and walk on water, make sure you wear your _____ shoes",COMFORTABLE,"If you're gonna try and walk on water, make sure you wear your comfortable shoes",Medium,AM Core
Arctic Monkeys,Pretty Visitors,All the pretty visitors came and _____ their arms,WAVED,All the pretty visitors came and waved their arms,Hard,AM Core
Arctic Monkeys,Dance Little Liar,Have you got itchy _____?,BONES,Have you got itchy bones?,Hard,AM Core
Arctic Monkeys,The Jeweller's Hands,Watching his exit was like falling off the ferry in the _____,NIGHT,Watching his exit was like falling off the ferry in the night,Extreme,AM Core
Arctic Monkeys,Evil Twin,He's the _____ of the keys and he's gonna let me in,KEEPER,He's the keeper of the keys and he's gonna let me in,Hard,AM B-Side
Arctic Monkeys,Blond-O-Sonic Shimmer Trap,She _____ like fun,LOOKS,She looks like fun,Extreme,AM B-Side
Arctic Monkeys,Science Fiction,Mass panic on a not too distant future _____,COLONY,Mass panic on a not too distant future colony,Hard,AM Modern
Arctic Monkeys,One for the Road,"One for the _____, ooh",ROAD,"One for the road, ooh",Easy,AM Core
Arctic Monkeys,Fake Tales of San Francisco,"You're not from New York City, you're from _____",ROTHERHAM,"You're not from New York City, you're from Rotherham",Medium,AM Core
Arctic Monkeys,The View From The Afternoon,_____ has the habit to set you up,ANTICIPATION,Anticipation has the habit to set you up,Medium,AM Core
Arctic Monkeys,When The Sun Goes Down,And he told Roxanne to put on her red _____,LIGHT,And he told Roxanne to put on her red light,Medium,AM Core
Arctic Monkeys,Only Ones Who Know,And I _____ you're holding hands by New Year's Eve,HOPE,And I hope you're holding hands by New Year's Eve,Hard,AM Core
Arctic Monkeys,Do Me a Favour,"To tear _____ the ties that bind, perhaps fuck off might be too kind",APART,"To tear apart the ties that bind, perhaps fuck off might be too kind",Hard,AM Core
Arctic Monkeys,If You Were There Beware,The circle of _____ with their minds on the prize,SNAKES,The circle of snakes with their minds on the prize,Extreme,AM Core
Arctic Monkeys,Batphone,I've _____ the glow of your low beams numerous times,RECOGNIZED,I've recognized the glow of your low beams numerous times,Extreme,AM Modern
Arctic Monkeys,I Wanna Be Yours,_____ I have held in my heart are harder to hide than I thought,SECRETS,Secrets I have held in my heart are harder to hide than I thought,Easy,AM Core
Arctic Monkeys,Knee Socks,You got your _____ socks on and you're lookin' like you like the help,KNEE,You got your knee socks on and you're lookin' like you like the help,Medium,AM Core
Arctic Monkeys,Potion Approaching,Would you like me to _____ you a go-kart?,BUILD,Would you like me to build you a go-kart?,Extreme,AM Core
Arctic Monkeys,Library Pictures,I'm in a _____,VEST,I'm in a vest,Extreme,AM Core
Arctic Monkeys,One Point Perspective,Dancing in my _____ / I'm gonna run for government,UNDERPANTS,Dancing in my underpants / I'm gonna run for government,Medium,AM Modern
Arctic Monkeys,Tranquility Base Hotel & Casino,"Jesus in the day spa, _____ out the information form",FILLING,"Jesus in the day spa, filling out the information form",Hard,AM Modern
Arctic Monkeys,American Sports,_____ battery pack / Just in time for my weekly chat,EMERGENCY,Emergency battery pack / Just in time for my weekly chat,Hard,AM Modern
Arctic Monkeys,Golden Trunks,The king of the _____-shift,NIGHT,The king of the night-shift,Extreme,AM Modern
Arctic Monkeys,She Looks Like Fun,_____,CHEESEBURGER,Cheeseburger,Extreme,AM Modern
Arctic Monkeys,The Ultracheese,I've done some things that I _____ have done,SHOULDNT,I've done some things that I shouldn't have done,Medium,AM Modern
Arctic Monkeys,I Ain't Quite Where I Think I Am,Freaky _____ patches,KEYBOARD,Freaky keyboard patches,Hard,AM Modern
Arctic Monkeys,Sculptures of Anything Goes,_____ canvas white noise,BLANK,Blank canvas white noise,Hard,AM Modern
Arctic Monkeys,Jet Skis on the Moat,Is there _____ on your mind?,SOMETHING,Is there something on your mind?,Extreme,AM Modern
Arctic Monkeys,Big Ideas,The _____ got us all surrounded,ORCHESTRAS,The orchestra's got us all surrounded,Hard,AM Modern
Arctic Monkeys,Hello You,I could _____ for 17 if I just had a shave,PASS,I could pass for 17 if I just had a shave,Hard,AM Modern
Arctic Monkeys,Mr Schwartz,A little bit of Mr. Schwartz in the middle of a _____,DREAM,A little bit of Mr. Schwartz in the middle of a dream,Extreme,AM Modern
Arctic Monkeys,Perfect Sense,And if that's what it takes to say _____,GOODNIGHT,And if that's what it takes to say goodnight,Medium,AM Modern
Arctic Monkeys,Stickin To The Floor,Not one of you has got an ounce of _____ in ya,STYLE,Not one of you has got an ounce of style in ya,Hard,AM B-Side
Arctic Monkeys,Matador,The circle of _____,SNAKES,The circle of snakes,Extreme,AM B-Side
Arctic Monkeys,Nettles,He's got a head like a _____,NETTLE,He's got a head like a nettle,Extreme,AM B-Side
Arctic Monkeys,Joining the Dots,If you're gonna try and walk on _____,WATER,If you're gonna try and walk on water,Extreme,AM B-Side
Arctic Monkeys,The Afternoon's Hat,_____ his exit was like falling off the ferry,WATCHING,Watching his exit was like falling off the ferry,Extreme,AM B-Side
Arctic Monkeys,Fright Lined Dining Room,The _____ on the wall / They're not working at all,CLOCKS,The clock's on the wall / They're not working at all,Extreme,AM B-Side
Arctic Monkeys,Don't Forget Whose Legs You're On,The sky's a _____ blue orchid,PALE,The sky's a pale blue orchid,Extreme,AM B-Side
Arctic Monkeys,Plastic Tramp,He's a _____ tramp,PLASTIC,He's a plastic tramp,Extreme,AM B-Side
Arctic Monkeys,Red Lights Indicate Doors Are Secure,I've been for _____ at the Heartbreak Hotel,BREAKFAST,I've been for breakfast at the Heartbreak Hotel,Medium,AM Core
Arctic Monkeys,Riot Van,"And you're starting to bore me, _____",BABY,"And you're starting to bore me, baby",Medium,AM Core
Arctic Monkeys,From the Ritz to the Rubble,Well the morning was complete where there were tears on the steering _____,WHEEL,Well the morning was complete where there were tears on the steering wheel,Hard,AM Core
Arctic Monkeys,D Is For Dangerous,He knew what he _____ and he went out and got it,WANTED,He knew what he wanted and he went out and got it,Medium,AM Core
Arctic Monkeys,Balaclava,It's the same old _____,STORY,It's the same old story,Hard,AM Core
Arctic Monkeys,The Bad Thing,Do the _____ in the Devil's lair,MACARENA,Do the Macarena in the Devil's lair,Extreme,AM Core
Arctic Monkeys,Old Yellow Bricks,"Houdini, love, you don't know what you're running _____ from",AWAY,"Houdini, love, you don't know what you're running away from",Medium,AM Core
Arctic Monkeys,She's Thunderstorms,"Lying on her front, up _____ the wall",AGAINST,"Lying on her front, up against the wall",Medium,AM Core
Arctic Monkeys,Reckless Serenade,"When she laughs, the _____ hum / A stun gun lullaby",HEAVENS,"When she laughs, the heavens hum / A stun gun lullaby",Hard,AM Core
Arctic Monkeys,Brianstorm,Top _____ for not trying,MARKS,Top marks for not trying,Easy,AM Core
Arctic Monkeys,My Propeller,Borrow the beak of a _____ eagle,BALD,Borrow the beak of a bald eagle,Hard,AM Core
Arctic Monkeys,Black Treacle,You look like you've been for _____ at the Heartbreak Hotel,BREAKFAST,You look like you've been for breakfast at the Heartbreak Hotel,Medium,AM Core
Arctic Monkeys,Suck It And See,You're rarer than a can of _____ and Burdock,DANDELION,You're rarer than a can of Dandelion and Burdock,Medium,AM Core
Arctic Monkeys,One For The Road,So we all go back to yours and you help me solve my _____,PROBLEMS,So we all go back to yours and you help me solve my problems,Medium,AM Core
Arctic Monkeys,Arabella,Wraps her lips _____ a Mexican Coke,AROUND,Wraps her lips around a Mexican Coke,Hard,AM Core
Arctic Monkeys,Fireside,And I can't _____ to make it through the day without thinking of you lately,MANAGE,And I can't manage to make it through the day without thinking of you lately,Hard,AM Core
Arctic Monkeys,Knee Socks,When the zero line comes a-_____,KNOCKING,When the zero line comes a-knocking,Hard,AM Core
Arctic Monkeys,Science Fiction,I've got the _____ on a wire,WORLD,I've got the world on a wire,Hard,AM Modern
Arctic Monkeys,Star Treatment,_____ I was a little too wild in the 70s,MAYBE,Maybe I was a little too wild in the 70s,Hard,AM Modern
Arctic Monkeys,One Point Perspective,I've been _____ of things that I shouldn't have been,THINKING,I've been thinking of things that I shouldn't have been,Medium,AM Modern
Arctic Monkeys,American Sports,The _____ is over and the real stuff begins,TRAINING,The training is over and the real stuff begins,Hard,AM Modern
Arctic Monkeys,The Car,_____ about how it used to be,THINKING,Thinking about how it used to be,Hard,AM Modern
Arctic Monkeys,Body Paint,Straight from the cover of a _____,MAGAZINE,Straight from the cover of a magazine,Hard,AM Modern
Arctic Monkeys,Mr Schwartz,He's got the _____ on a string,WORLD,He's got the world on a string,Extreme,AM Modern
Arctic Monkeys,Big Ideas,The _____ was f-ing wank and I'm not sorry,BAND,The band was f-ing wank and I'm not sorry,Hard,AM Modern
Arctic Monkeys,Hello You,I could _____ for 17 if I just had a shave,PASS,I could pass for 17 if I just had a shave,Hard,AM Modern
Arctic Monkeys,Perfect Sense,And if that's what it takes to say _____,GOODNIGHT,And if that's what it takes to say goodnight,Medium,AM Modern
Arctic Monkeys,Da Frame 2R,I'm the king of the _____,ROAD,I'm the king of the road,Extreme,AM B-Side
Arctic Monkeys,Sketchead,He's a sketch _____,HEAD,He's a sketch head,Extreme,AM B-Side
Arctic Monkeys,Too Much To Ask,The best you ever had is just a _____,MEMORY,The best you ever had is just a memory,Hard,AM B-Side
Arctic Monkeys,Temptation Greets You Like Your Naughty Friend,A bit of a _____ but I'm getting there,MESS,A bit of a mess but I'm getting there,Hard,AM B-Side
Arctic Monkeys,What If You Were Right The First Time?,I'm not sure if I want to _____,KNOW,I'm not sure if I want to know,Extreme,AM B-Side
Arctic Monkeys,7,I'm the king of the _____,WORLD,I'm the king of the world,Extreme,AM B-Side
Arctic Monkeys,Baby I'm Yours,I'll be yours _____ the stars fall from the sky,UNTIL,I'll be yours until the stars fall from the sky,Medium,AM B-Side
Arctic Monkeys,Bad Woman,She's a bad _____ but I love her,WOMAN,She's a bad woman but I love her,Extreme,AM B-Side
Arctic Monkeys,Cigarette Smoker Fiona,I'm a cigarette _____ Fiona,SMOKER,I'm a cigarette smoker Fiona,Hard,AM B-Side
Arctic Monkeys,Electricity,_____ the one for me,YOURE,You're the one for me,Extreme,AM B-Side
Arctic Monkeys,Nettles,He's got a head like a _____,NETTLE,He's got a head like a nettle,Extreme,AM B-Side
Arctic Monkeys,Red Right Hand,He's got a red _____ hand,RIGHT,He's got a red right hand,Hard,AM B-Side
Arctic Monkeys,Stop The World I Wanna Get Off With You,I'm trying to change your _____,MIND,I'm trying to change your mind,Hard,AM B-Side
Arctic Monkeys,You're So Dark,I saw you driving your _____,PRIUS,I saw you driving your Prius,Extreme,AM B-Side
Arctic Monkeys,The Afternoon's Hat,_____ his exit was like falling off the ferry,WATCHING,Watching his exit was like falling off the ferry,Extreme,AM B-Side
Arctic Monkeys,Joining the Dots,If you're gonna try and walk on _____,WATER,If you're gonna try and walk on water,Extreme,AM B-Side
Arctic Monkeys,Don't Forget Whose Legs You're On,The _____ a pale blue orchid,SKYS,The sky's a pale blue orchid,Extreme,AM B-Side
Arctic Monkeys,Fright Lined Dining Room,The clock's on the _____,WALL,The clock's on the wall,Extreme,AM B-Side
Arctic Monkeys,Little Illusion Machine,I'm a little illusion _____,MACHINE,I'm a little illusion machine,Extreme,AM B-Side
Arctic Monkeys,Matador,The _____ of snakes,CIRCLE,The circle of snakes,Extreme,AM B-Side
Arctic Monkeys,Anyways,I'm just _____ about you,THINKING,I'm just thinking about you,Hard,AM Modern
Arctic Monkeys,The Ultracheese,I've done some things that I _____ have done,SHOULDNT,I've done some things that I shouldn't have done,Medium,AM Modern
Arctic Monkeys,Science Fiction,I've got the _____ on a wire,WORLD,I've got the world on a wire,Hard,AM Modern
Arctic Monkeys,One Point Perspective,Dancing in my _____,UNDERPANTS,Dancing in my underpants,Medium,AM Modern
Arctic Monkeys,American Sports,Emergency _____ pack,BATTERY,Emergency battery pack,Hard,AM Modern
Arctic Monkeys,Golden Trunks,The king of the night-_____,SHIFT,The king of the night-shift,Extreme,AM Modern
Arctic Monkeys,Star Treatment,I just wanted to be one of the _____,STROKES,I just wanted to be one of the Strokes,Hard,AM Modern
Arctic Monkeys,Four Out Of Five,I put a _____ on the roof,TAQUERIA,I put a taqueria on the roof,Hard,AM Modern
Arctic Monkeys,There'd Better Be a Mirrorball,Don't get _____ that ain't like you,EMOTIONAL,Don't get emotional that ain't like you,Medium,AM Modern
Arctic Monkeys,Body Paint,There's still a _____ of body paint on your legs and on your arms,TRACE,There's still a trace of body paint on your legs and on your arms,Hard,AM Modern
Arctic Monkeys,The Car,Thinking about how it _____ to be,USED,Thinking about how it used to be,Hard,AM Modern
Arctic Monkeys,Big Ideas,The orchestra's got us all _____,SURROUNDED,The orchestra's got us all surrounded,Hard,AM Modern
Arctic Monkeys,Hello You,I could pass for 17 if I just had a _____,SHAVE,I could pass for 17 if I just had a shave,Hard,AM Modern
Arctic Monkeys,Mr Schwartz,A little bit of Mr. _____ in the middle of a dream,SCHWARTZ,A little bit of Mr. Schwartz in the middle of a dream,Extreme,AM Modern
Arctic Monkeys,Perfect Sense,And if that's what it _____ to say goodnight,TAKES,And if that's what it takes to say goodnight,Medium,AM Modern
Arctic Monkeys,Stickin To The Floor,Not one of you has got an ounce of _____ in ya,STYLE,Not one of you has got an ounce of style in ya,Hard,AM B-Side
Arctic Monkeys,Despair in the Departure Lounge,She's got her hands in her pockets and she's looking at her _____,FEET,She's got her hands in her pockets and she's looking at her feet,Hard,AM Deep Cut
Arctic Monkeys,Why'd You Only Call Me When You're High?,Now it's _____ in the morning and I'm trying to change your mind,THREE,Now it's three in the morning and I'm trying to change your mind,Easy,AM Core
Arctic Monkeys,Do I Wanna Know?,Been _____ if your heart's still open,WONDERING,Been wondering if your heart's still open,Easy,AM Core
Arctic Monkeys,R U Mine?,She's a _____ lining climbing on my desire,SILVER,She's a silver lining climbing on my desire,Medium,AM Core
Arctic Monkeys,505,I crumble _____ when you cry,COMPLETELY,I crumble completely when you cry,Easy,AM Core
Arctic Monkeys,Fluorescent Adolescent,The best you ever had is just a _____,MEMORY,The best you ever had is just a memory,Easy,AM Core
Arctic Monkeys,Mardy Bum,I've _____ your frown and it's like looking down the barrel of a gun,SEEN,I've seen your frown and it's like looking down the barrel of a gun,Easy,AM Core
Arctic Monkeys,Arabella,The horizon _____ but it's just not as kind on the eyes,TRIES,The horizon tries but it's just not as kind on the eyes,Medium,AM Core
Arctic Monkeys,Cornerstone,I saw your sister in the _____,CORNERSTONE,I saw your sister in the Cornerstone,Medium,AM Core
Arctic Monkeys,Crying Lightning,Your past times _____ of the strange and twisted and deranged,CONSISTED,Your past times consisted of the strange and twisted and deranged,Hard,AM Core
Arctic Monkeys,Snap Out Of It,Under a spell you're _____,HYPNOTIZED,Under a spell you're hypnotized,Medium,AM Core
Arctic Monkeys,No. 1 Party Anthem,It's not like I'm _____ in love,FALLING,It's not like I'm falling in love,Hard,AM Core
Arctic Monkeys,Fireside,There's all these _____ that I can't keep,SECRETS,There's all these secrets that I can't keep,Hard,AM Core
Arctic Monkeys,A Certain Romance,Perhaps _____ off might be too kind,FUCK,Perhaps fuck off might be too kind,Hard,AM Core
Arctic Monkeys,Teddy Picker,Who'd want to be men of the people when there's _____ like you?,PEOPLE,Who'd want to be men of the people when there's people like you?,Hard,AM Core
Nirvana,Smells Like Teen Spirit,"A _____, an albino, a mosquito, my libido",MULATTO,"A mulatto, an albino, a mosquito, my libido",Easy,Rock Iconic
Oasis,Wonderwall,_____ maybe you're gonna be the one that saves me,BECAUSE,Because maybe you're gonna be the one that saves me,Easy,Rock Iconic
The Killers,Mr. Brightside,Coming out of my cage and I've been doing just _____,FINE,Coming out of my cage and I've been doing just fine,Easy,Rock Iconic
Queen,Bohemian Rhapsody,"I'm just a poor boy, I need no _____",SYMPATHY,"I'm just a poor boy, I need no sympathy",Easy,Rock Iconic
Pink Floyd,Time,"Tired of lying in the _____, staying home to watch the rain",SUNSHINE,"Tired of lying in the sunshine, staying home to watch the rain",Hard,Rock Iconic
Pink Floyd,Wish You Were Here,Did they get you to trade your _____ for ghosts?,HEROES,Did they get you to trade your heroes for ghosts?,Medium,Rock Iconic
Radiohead,Creep,"I'm a _____, I'm a weirdo, what the hell am I doing here?",CREEP,"I'm a creep, I'm a weirdo, what the hell am I doing here?",Easy,Rock Iconic
Foo Fighters,Everlong,If _____ could ever be this good again,ANYTHING,If anything could ever be this good again,Medium,Rock Iconic
Red Hot Chili Peppers,Under the Bridge,I don't ever _____ to feel like I did that day,WANT,I don't ever want to feel like I did that day,Easy,Rock Iconic
Linkin Park,Numb,"I've become so numb, I _____ feel you there",CANT,"I've become so numb, I can't feel you there",Easy,Rock Iconic
The Rolling Stones,(I Can't Get No) Satisfaction,"I can't get no _____, 'cause I try and I try",SATISFACTION,"I can't get no satisfaction, 'cause I try and I try",Easy,Rock Iconic
Led Zeppelin,Stairway to Heaven,There's a lady _____ sure all that glitters is gold,WHOS,There's a lady who's sure all that glitters is gold,Easy,Rock Iconic
The Eagles,Hotel California,"You can _____ out any time you like, but you can never leave",CHECK,"You can check out any time you like, but you can never leave",Easy,Rock Iconic
David Bowie,Heroes,"We can be _____, just for one day",HEROES,"We can be heroes, just for one day",Medium,Rock Iconic
Fleetwood Mac,Landslide,"But time _____ you bolder, even children get older",MAKES,"But time makes you bolder, even children get older",Medium,Rock Iconic
Queen,Another One Bites the Dust,Steve walks warily down the street with the brim _____ low,PULLED,Steve walks warily down the street with the brim pulled low,Medium,Rock Iconic
Guns N' Roses,Sweet Child O' Mine,She's got a smile that it seems to me reminds me of childhood _____,MEMORIES,She's got a smile that it seems to me reminds me of childhood memories,Easy,Rock Iconic
Metallica,Nothing Else Matters,_____ I seek and I find in you,TRUST,Trust I seek and I find in you,Medium,Rock Iconic
Jimi Hendrix,Purple Haze,Purple _____ all in my brain lately things don't seem the same,HAZE,Purple haze all in my brain lately things don't seem the same,Easy,Rock Iconic
The Beatles,Hey Jude,"Hey Jude, don't let me down, you have _____ her, now go and get her",FOUND,"Hey Jude, don't let me down, you have found her, now go and get her",Easy,Rock Iconic
Marvin Gaye,What's Going On,"_____, mother, there's too many of you crying",MOTHER,"Mother, mother, there's too many of you crying",Medium,Rock Iconic
Chuck Berry,Johnny B. Goode,He never _____ learned to read or write so well but he could play the guitar just like ringing a bell,EVER,He never ever learned to read or write so well but he could play the guitar just like ringing a bell,Easy,Rock Iconic
The Doors,Break on through,Break on through to the other _____,SIDE,Break on through to the other side,Medium,Rock Iconic
Bruce Springsteen,Born to Run,The freeways jammed with broken _____ on a last chance power drive,HEROES,The freeways jammed with broken heroes on a last chance power drive,Hard,Rock Iconic
Bob Dylan,Like a Rolling Stone,"Once upon a time you dressed so fine, _____ the bums a dime in your prime, didn't you?",THREW,"Once upon a time you dressed so fine, threw the bums a dime in your prime, didn't you?",Hard,Rock Iconic
Bon Jovi,Livin' on a Prayer,"We've got to hold on to what we've got, it doesn't make a _____ if we make it or not",DIFFERENCE,"We've got to hold on to what we've got, it doesn't make a difference if we make it or not",Easy,Rock Iconic
Black Sabbath,Paranoid,Finished with my woman 'cause she couldn't _____ me with my mind,HELP,Finished with my woman 'cause she couldn't help me with my mind,Medium,Rock Iconic
Aerosmith,Dream On,Sing with me _____ for the year sing for the laughter and sing for the tear,SING,Sing with me sing for the year sing for the laughter and sing for the tear,Medium,Rock Iconic
Dire Straits,Sultans of Swing,And the _____ doesn't mind if he doesn't make the scene,HARRY,And the Harry doesn't mind if he doesn't make the scene,Hard,Rock Iconic
Derek and the Dominos,Layla,"Layla, _____ got me on my knees",YOUVE,"Layla, you've got me on my knees",Easy,Rock Iconic
Steppenwolf,Born to be Wild,Get your motor _____ head out on the highway,RUNNIN,Get your motor runnin' head out on the highway,Easy,Rock Iconic
Van Halen,Jump,Might as well _____,JUMP,Might as well jump,Easy,Rock Iconic
Whitesnake,Here I Go Again,"Here I go again on my own, goin' down the only road I've _____ known",EVER,"Here I go again on my own, goin' down the only road I've ever known",Easy,Rock Iconic
Yes,Owner of a Lonely Heart,Owner of a lonely heart much better than a _____ of a broken heart,OWNER,Owner of a lonely heart much better than a owner of a broken heart,Medium,Rock Iconic
Bob Seger,Old Time Rock & Roll,Just take those old records off the _____,SHELF,Just take those old records off the shelf,Easy,Rock Iconic
Santana,Black Magic Woman,Got a _____ magic woman got me so blind I can't see,BLACK,Got a black magic woman got me so blind I can't see,Medium,Rock Iconic
Jefferson Airplane,Somebody to Love,When the truth is _____ to be lies and all the joy within you dies,FOUND,When the truth is found to be lies and all the joy within you dies,Hard,Rock Iconic
KISS,Rock & Roll All Nite,I wanna rock and roll all _____ and party every day,NIGHT,I wanna rock and roll all night and party every day,Easy,Rock Iconic
Joan Jett,I Love Rock & Roll,I love rock and roll so put another dime in the _____ baby,JUKEBOX,I love rock and roll so put another dime in the jukebox baby,Easy,Rock Iconic
Ram Jam,Black Betty,_____ Black Betty bam-ba-lam,WHOA,Whoa Black Betty bam-ba-lam,Easy,Rock Iconic
The Knack,My Sharona,"Ooh, my _____ hungry one, hungry one",LITTLE,"Ooh, my little hungry one, hungry one",Medium,Rock Iconic
Tom Petty,American Girl,Well she was an American _____ raised on promises,GIRL,Well she was an American girl raised on promises,Medium,Rock Iconic
Pearl Jam,Alive,"Son, she said, have I got a _____ story for you",LITTLE,"Son, she said, have I got a little story for you",Medium,Rock Iconic
Boston,More than a Feeling,It's more than a _____ when I hear that old song they used to play,FEELING,It's more than a feeling when I hear that old song they used to play,Easy,Rock Iconic
Asia,Heat of the Moment,It was the heat of the _____ telling me what your heart meant,MOMENT,It was the heat of the moment telling me what your heart meant,Medium,Rock Iconic
Ramones,Rock & Roll Radio,Do you remember Rock 'n' Roll _____?,RADIO,Do you remember Rock 'n' Roll Radio?,Medium,Rock Iconic
Supertramp,Give a Little Bit,Give a _____ bit of your love to me,LITTLE,Give a little bit of your love to me,Easy,Rock Iconic
The Beatles,Here Comes the Sun,Little darlin' the smile's _____ to their faces,RETURNING,Little darlin' the smile's returning to their faces,Easy,Rock Iconic
Thin Lizzy,The Boys Are Back in Town,The boys are back in _____,TOWN,The boys are back in town,Easy,Rock Iconic
Journey,Anyway You Want It,_____ you want it that's the way you need it,ANYWAY,Anyway you want it that's the way you need it,Easy,Rock Iconic
Survivor,Eye of the Tiger,It's the eye of the tiger it's the thrill of the _____,FIGHT,It's the eye of the tiger it's the thrill of the fight,Easy,Rock Iconic
The Troggs,Wild Thing,Wild thing you make my heart _____,SING,Wild thing you make my heart sing,Easy,Rock Iconic
Twisted Sister,We're Not Gonna Take It,We're not gonna take it oh no we ain't gonna _____ it,TAKE,We're not gonna take it oh no we ain't gonna take it,Easy,Rock Iconic
Peter Gabriel,Sledgehammer,You could have a steam train if you just lay down your _____,TRACKS,You could have a steam train if you just lay down your tracks,Medium,Rock Iconic
The Black Crowes,Hard to Handle,Boys will be boys and girls will be _____,GIRLS,Boys will be boys and girls will be girls,Medium,Rock Iconic
Blondie,One Way or Another,One way or _____ I'm gonna find ya I'm gonna get ya get ya get ya get ya,ANOTHER,One way or another I'm gonna find ya I'm gonna get ya get ya get ya get ya,Easy,Rock Iconic
The Beatles,Help!,"Help, I need _____, help, not just anybody",SOMEBODY,"Help, I need somebody, help, not just anybody",Easy,Rock Iconic
Elvis Presley,Suspicious Minds,"We're caught in a _____, I can't walk out, because I love you too much baby",TRAP,"We're caught in a trap, I can't walk out, because I love you too much baby",Easy,Rock Iconic
